date,tavg,tsun,rain_days,day_without_rain,snow_days,days_without_snow,city,lat,lon
2020-03-01,8.009677419354839,367.4516129032258,6,25,0,31,frankfurt am main,50.116667,8.683333
2020-04-01,13.446666666666665,605.5,2,28,0,30,frankfurt am main,50.116667,8.683333
2020-05-01,14.5,546.0322580645161,5,26,0,31,frankfurt am main,50.116667,8.683333
2020-06-01,18.95,420.6,6,24,0,30,frankfurt am main,50.116667,8.683333
2020-07-01,20.896774193548385,503.7096774193548,4,27,0,31,frankfurt am main,50.116667,8.683333
2020-08-01,22.31935483870968,406.9032258064516,10,21,0,31,frankfurt am main,50.116667,8.683333
2020-09-01,17.413333333333334,455.56666666666666,2,28,0,30,frankfurt am main,50.116667,8.683333
2020-10-01,11.738709677419354,101.7741935483871,8,23,0,31,frankfurt am main,50.116667,8.683333
2020-11-01,7.303333333333333,187.13333333333333,3,27,0,30,frankfurt am main,50.116667,8.683333
2020-12-01,4.690322580645161,39.16129032258065,11,20,1,30,frankfurt am main,50.116667,8.683333
2021-01-01,2.564516129032258,36.38709677419355,8,23,3,28,frankfurt am main,50.116667,8.683333
2021-02-01,3.814285714285714,286.07142857142856,5,23,6,22,frankfurt am main,50.116667,8.683333
2021-03-01,7.241935483870968,321.93548387096774,5,26,0,31,frankfurt am main,50.116667,8.683333
2021-04-01,8.41,423.3333333333333,3,27,0,30,frankfurt am main,50.116667,8.683333
2021-05-01,12.425806451612903,364.2258064516129,10,21,0,31,frankfurt am main,50.116667,8.683333
2021-06-01,21.103333333333335,523.9333333333333,10,20,0,30,frankfurt am main,50.116667,8.683333
2021-07-01,19.741935483870968,420.6774193548387,8,23,0,31,frankfurt am main,50.116667,8.683333
2021-08-01,18.338709677419356,339.2258064516129,7,24,0,31,frankfurt am main,50.116667,8.683333
2021-09-01,17.153333333333332,428.76666666666665,5,25,0,30,frankfurt am main,50.116667,8.683333
2021-10-01,10.619354838709677,203.83870967741936,9,22,0,31,frankfurt am main,50.116667,8.683333
2021-11-01,5.723333333333333,70.6,4,26,0,30,frankfurt am main,50.116667,8.683333
2021-12-01,4.745161290322581,86.96774193548387,8,23,0,31,frankfurt am main,50.116667,8.683333
2017-01-01,-4.554838709677419,180.38709677419354,7,24,28,3,muenchen,48.137154,11.576124
2017-02-01,2.9,203.57142857142858,4,24,2,26,muenchen,48.137154,11.576124
2017-03-01,6.458064516129032,346.83870967741933,7,24,0,31,muenchen,48.137154,11.576124
2017-04-01,6.61,364.0,6,24,4,26,muenchen,48.137154,11.576124
2017-05-01,12.845161290322581,404.38709677419354,10,21,0,31,muenchen,48.137154,11.576124
2017-06-01,17.93,530.5333333333333,7,23,0,30,muenchen,48.137154,11.576124
2017-07-01,18.161290322580644,395.38709677419354,12,19,0,31,muenchen,48.137154,11.576124
2017-08-01,18.08709677419355,404.7741935483871,8,23,0,31,muenchen,48.137154,11.576124
2017-09-01,11.653333333333334,249.53333333333333,3,27,0,30,muenchen,48.137154,11.576124
2017-10-01,9.654838709677419,269.3225806451613,5,26,0,31,muenchen,48.137154,11.576124
2017-11-01,3.7233333333333336,94.9,9,21,4,26,muenchen,48.137154,11.576124
2017-12-01,0.7548387096774193,103.96774193548387,8,23,18,13,muenchen,48.137154,11.576124
2018-01-01,3.703225806451613,97.25806451612904,14,17,5,26,muenchen,48.137154,11.576124
2018-02-01,-2.9214285714285713,185.03571428571428,2,26,19,9,muenchen,48.137154,11.576124
2018-03-01,2.416129032258065,215.3548387096774,5,26,12,19,muenchen,48.137154,11.576124
2018-04-01,11.46,503.93333333333334,3,27,0,30,muenchen,48.137154,11.576124
2018-05-01,14.306451612903226,370.35483870967744,6,25,0,31,muenchen,48.137154,11.576124
2018-06-01,16.83,487.56666666666666,6,24,0,30,muenchen,48.137154,11.576124
2018-07-01,18.77741935483871,505.9032258064516,6,25,0,31,muenchen,48.137154,11.576124
2018-08-01,18.970967741935485,496.35483870967744,6,25,0,31,muenchen,48.137154,11.576124
2018-09-01,14.32,462.1666666666667,4,26,0,30,muenchen,48.137154,11.576124
2018-10-01,9.148387096774194,312.258064516129,3,28,0,31,muenchen,48.137154,11.576124
2018-11-01,4.23,183.9,2,28,1,29,muenchen,48.137154,11.576124
2018-12-01,2.4806451612903224,73.83870967741936,12,19,5,26,muenchen,48.137154,11.576124
2019-01-01,-1.0516129032258066,58.45161290322581,10,21,27,4,muenchen,48.137154,11.576124
2019-02-01,2.3392857142857144,372.32142857142856,3,25,9,19,muenchen,48.137154,11.576124
2019-03-01,5.290322580645161,318.9032258064516,8,23,3,28,muenchen,48.137154,11.576124
2019-04-01,7.78,314.8666666666667,9,21,1,29,muenchen,48.137154,11.576124
2019-05-01,9.47741935483871,337.80645161290323,13,18,0,31,muenchen,48.137154,11.576124
2019-06-01,17.953333333333333,564.7666666666667,8,22,0,30,muenchen,48.137154,11.576124
2019-07-01,19.016129032258064,532.3870967741935,3,28,0,31,muenchen,48.137154,11.576124
2019-08-01,17.98709677419355,453.258064516129,7,24,0,31,muenchen,48.137154,11.576124
2019-09-01,13.486666666666668,384.2,4,26,0,30,muenchen,48.137154,11.576124
2019-10-01,10.580645161290322,200.58064516129033,13,18,0,31,muenchen,48.137154,11.576124
2019-11-01,3.8133333333333335,106.33333333333333,6,24,1,29,muenchen,48.137154,11.576124
2019-12-01,2.2580645161290325,174.93548387096774,7,24,1,30,muenchen,48.137154,11.576124
2020-01-01,1.6193548387096774,219.51612903225808,3,28,6,25,muenchen,48.137154,11.576124
2020-02-01,4.672413793103448,223.9655172413793,14,15,5,24,muenchen,48.137154,11.576124
2020-03-01,4.190322580645161,361.38709677419354,5,26,1,30,muenchen,48.137154,11.576124
2020-04-01,10.09,614.4666666666667,2,28,0,30,muenchen,48.137154,11.576124
2020-05-01,11.432258064516128,492.61290322580646,5,26,0,31,muenchen,48.137154,11.576124
2020-06-01,15.283333333333333,369.26666666666665,11,19,0,30,muenchen,48.137154,11.576124
2020-07-01,18.129032258064516,571.0967741935484,3,28,0,31,muenchen,48.137154,11.576124
2020-08-01,18.403225806451612,437.9032258064516,8,23,0,31,muenchen,48.137154,11.576124
2020-09-01,14.379999999999999,419.26666666666665,4,26,0,30,muenchen,48.137154,11.576124
2020-10-01,8.848387096774195,165.32258064516128,11,20,0,31,muenchen,48.137154,11.576124
2020-11-01,5.180000000000001,264.56666666666666,4,26,0,30,muenchen,48.137154,11.576124
2020-12-01,2.106451612903226,68.80645161290323,7,24,10,21,muenchen,48.137154,11.576124
2021-01-01,-0.5096774193548387,97.61290322580645,9,22,26,5,muenchen,48.137154,11.576124
2021-02-01,2.6035714285714286,303.17857142857144,5,23,6,22,muenchen,48.137154,11.576124
2021-03-01,3.693548387096774,339.2258064516129,7,24,2,29,muenchen,48.137154,11.576124
2021-04-01,5.166666666666667,429.06666666666666,4,26,2,28,muenchen,48.137154,11.576124
2021-05-01,9.361290322580645,348.0967741935484,12,19,0,31,muenchen,48.137154,11.576124
2021-06-01,17.75,491.1666666666667,13,17,0,30,muenchen,48.137154,11.576124
2021-07-01,17.106451612903225,399.1290322580645,15,16,0,31,muenchen,48.137154,11.576124
2021-08-01,15.76774193548387,322.7741935483871,9,22,0,31,muenchen,48.137154,11.576124
2021-09-01,14.023333333333333,423.06666666666666,9,21,0,30,muenchen,48.137154,11.576124
2021-10-01,8.190322580645162,321.03225806451616,5,26,0,31,muenchen,48.137154,11.576124
2021-11-01,2.5133333333333336,132.06666666666666,1,29,3,27,muenchen,48.137154,11.576124
2021-12-01,2.267741935483871,83.6774193548387,8,23,2,29,muenchen,48.137154,11.576124
