,name,address,postcode,latitude,longitude
61,Aral Tankstelle Bremer,"Großmannstraße 195-211, 20539 Hamburg",20539,53.5365,10.06465
62,Aral,"Schiffbeker Weg 228, 22119 Hamburg",22119,53.56232,10.12006
2,Auto-Glanz Töllner,"Stapelfelder Straße 140, 22143 Hamburg",22143,53.60254,10.18258
3,Eurowash International Service Management,"Schmahlsweg 16, 22143 Hamburg",22143,53.60587,10.16131
5,Aral,"Bargteheider Straße 100, 22143 Hamburg",22143,53.60482,10.14797
6,Starwash Waschstrasse,"Willinghusener Weg 1, 22113 Oststeinbek",22113,53.54555,10.1526
7,Nordoel,"Möllner Landstraße 83, 22113 Oststeinbek",22113,53.54254,10.17145
10,Aral,"Rahlstedter Straße 87, 22149 Hamburg",22149,53.59784,10.1529
0,JET Wäsche,"Großer Schippsee 37, 21073 Hamburg",21073,53.4624,9.9847
1,ARAL Station,"Wilhelm-Iwan-Ring, 21035 Hamburg",21035,53.48994,10.11459
2,Aral,"Winsener Straße 38, 21077 Hamburg",21077,53.44847,9.98825
3,Kaya Star Wash Center,"Wilhelm-Iwan-Ring 1, 21035 Hamburg",21035,53.49002,10.11476
4,Kaya Star Wash,"Wilhelm-Iwan-Ring 1, 21035 Hamburg",21035,53.48997,10.11477
5,TWS Truck Wash GmbH & Co.KG,"König-Georg-Deich 8, 21107 Hamburg",21107,53.47773,9.99501
6,Curt Richter SE,"Billwerder Ring 13, 21035 Hamburg",21035,53.49668,10.11917
7,Aral,"Mengestraße 14, 21107 Hamburg",21107,53.5004,9.99426
8,Hamburg Weusthoffstr,"Weusthoffstraße 30, 21075 Hamburg",21075,53.45643,9.95542
9,Hamburg Bremer Str. 112,"Bremer Straße 112, 21073 Hamburg",21073,53.45162,9.971
10,Hamburg Grossmoorbogen 1.,"Großmoorbogen 1, 21079 Hamburg",21079,53.46133,10.01296
11,Oil!,"Winsener Straße 158, 21077 Hamburg",21077,53.43093,9.98256
12,Bremsen-Service GmbH,"Pollhornbogen 17, 21107 Hamburg",21107,53.48549,9.98945
13,Hamburg Winsener Str. 91.,"Winsener Straße 91, 21077 Hamburg",21077,53.44468,9.99113
0,Nordoel,21033 Hamburg,21033,53.48912,10.19501
2,Hamburg Kirchwerder Landweg.,"Kirchwerder Landweg 546, 21037 Hamburg",21037,53.42098,10.14873
3,Avia Tankstelle,"Lauenburger Landstraße 8, 21039 Börnsen",21039,53.46999,10.27541
